□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,
계약일자 : 20181101 ~ 20191031,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,,,,
시군구 : 진주시,,,,,,,,,,,,,,,
읍면동 : 가좌동,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,
시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
경상남도 진주시 가좌동,1***,25m미만,12,월세,201902,16,200,35,2016,가좌길74번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,12,전세,201901,5,"4,500",0,2016,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,1***,-,12.88,전세,201811,27,"4,500",0,1989,null,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,14.2,월세,201906,25,300,32,2016,가좌길60번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,14.85,월세,201902,20,500,35,2019,가좌길64번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,14.85,월세,201908,28,500,35,2019,가좌길64번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,15,월세,201901,10,500,39,2008,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,월세,201901,30,"3,000",22,2017,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,전세,201902,9,"3,200",0,1987,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16,월세,201812,26,300,30,1987,가좌길48번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16,월세,201812,29,300,32,1987,가좌길48번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16,전세,201902,20,"3,000",0,2016,가좌길48번길,-,-,-,,
경상남도 진주시 가좌동,1***,-,18,월세,201812,19,"5,000",5,2018,null,-,-,-,,
경상남도 진주시 가좌동,8**,12m미만,18,월세,201903,24,500,33,2019,가좌길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,18,전세,201907,7,"4,000",0,2018,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,18,전세,201902,20,"5,000",0,2016,가좌길44번길,-,-,-,,
경상남도 진주시 가좌동,1***,-,18,전세,201902,21,"5,000",0,2019,null,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,18,전세,201812,22,"4,000",0,2018,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,18,전세,201902,24,"5,000",0,2019,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,5**,12m미만,18.3,월세,201901,14,300,30,2009,진주대로500번길,-,-,-,,
경상남도 진주시 가좌동,6**,-,18.33,월세,201901,10,"4,000",9,2015,null,-,-,-,,
경상남도 진주시 가좌동,6**,-,18.33,월세,201901,30,"3,000",15,2015,null,-,-,-,,
경상남도 진주시 가좌동,6**,8m미만,18.5,월세,201902,15,300,37,2019,가좌길74번길,-,-,-,,
경상남도 진주시 가좌동,1***,-,20,월세,201901,2,300,35,2015,null,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,20,월세,201901,4,200,30,2002,가좌길64번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,20,월세,201902,7,"1,000",30,2018,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,20,월세,201908,7,"2,000",20,2018,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,월세,201908,9,300,37,2012,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,6**,-,20,월세,201902,10,"4,000",7,2014,null,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,월세,201908,21,"3,000",25,2018,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,20,월세,201812,22,300,30,2018,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,20,월세,201811,23,"5,000",10,2009,진주대로542번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,월세,201907,23,"5,000",5,2017,가좌길44번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,20,월세,201901,24,"2,000",22,1989,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,월세,201908,25,300,37,2018,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,20,전세,201902,1,"6,000",0,null,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,전세,201812,4,"5,500",0,null,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,-,20,전세,201901,7,"4,500",0,1989,null,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,20,전세,201901,11,"4,000",0,2014,진주대로404번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,전세,201908,12,"6,000",0,2017,가좌길,-,-,-,,
경상남도 진주시 가좌동,6**,8m미만,20,전세,201902,16,"4,000",0,null,가호로4번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,20,전세,201902,16,"4,500",0,2017,가좌길,-,-,-,,
